lat,lon,thickness_cm
28.7232,-17.7783,0.0
28.71689,-17.77098,0.0
28.70359,-17.75534,0.5
28.67327,-17.94334,1.0
28.69928,-17.94982,1.0
28.73452,-17.96588,0.0
28.75325,-17.97187,0.0
28.76595,-17.97555,0.0
28.7849,-17.96714,0.0
28.79353,-17.96809,0.0
28.79895,-17.96821,0.0
28.80668,-17.96433,0.0
28.81456,-17.96249,0.0
28.8153,-17.95379,0.0
28.8203,-17.94332,0.0
28.80676,-17.93273,0.0
28.66754,-17.79341,5.0
28.6507,-17.7922,3.0
28.63584,-17.78799,5.0
28.62644,-17.80923,4.0
28.61834,-17.81645,6.0
28.61952,-17.82141,5.0
28.61879,-17.82256,10.0
28.62178,-17.81566,6.0
28.63133,-17.80907,5.0
28.59462,-17.91626,10.0
28.58844,-17.90984,20.0
28.57791,-17.90515,8.0
28.57286,-17.90195,5.0
28.5967,-17.89024,20.0
28.58909,-17.88849,30.0
28.58819,-17.89325,20.0
28.58495,-17.88705,10.0
28.49015,-17.84453,0.0
28.49105,-17.85389,0.0
28.51999,-17.81997,0.0
28.55576,-17.79996,1.0
28.55693,-17.80374,0.0
28.58236,-17.78746,0.5
28.58422,-17.78717,0.0
28.60558,-17.78613,0.0
28.62085,-17.78103,0.5
28.64098,-17.79769,3.0
28.64318,-17.78642,2.0
28.64467,-17.77951,1.0
28.64089,-17.77463,1.0
28.63172,-17.771,2.0
28.60623,-17.77072,1.0
28.58615,-17.77055,0.5
28.58233,-17.77391,0.5
28.5563,-17.79349,0.0
28.54841,-17.8063,1.0
28.54168,-17.8673,2.0
28.56043,-17.87168,3.0
28.56876,-17.87251,6.0
28.58745,-17.87986,10.0
28.59526,-17.87849,25.0
28.59695,-17.88929,20.0
28.59895,-17.89321,15.0
28.59979,-17.89763,15.0
28.59818,-17.90992,10.0
28.60558,-17.78613,0.0
28.62085,-17.78103,0.5
28.61471,-17.83434,10.0
28.61187,-17.83244,8.0
28.60906,-17.8286,5.0
28.61035,-17.82562,8.0
28.61562,-17.84399,15.0
28.6159,-17.84494,17.0
28.62317,-17.87386,20.0
28.62444,-17.87365,15.0
28.62702,-17.87311,15.0
28.47594,-17.83637,0.0
28.6234,-17.84471,13.0
28.62092,-17.84759,16.5
28.61987,-17.85151,33.0
28.61794,-17.85429,51.0
28.61772,-17.85639,70.0
28.69594,-17.78114,0.0
28.67794,-17.8542,0.0
28.67946,-17.85386,0.5
28.69594,-17.78114,2.0
28.49415,-17.84448,1.0
28.53208,-17.87327,2.0
28.5358,-17.81558,1.0
28.64832,-17.78746,2.0
28.57029,-17.87442,10.0
28.5652,-17.87324,10.0
28.52895,-17.86347,2.0
28.49568,-17.85071,1.0
28.50517,-17.85705,0.5
28.62569,-17.82987,3.5
28.61821,-17.8334,8.5
28.63033,-17.82696,3.0
28.62318,-17.83156,6.0
28.61841,-17.83304,7.5
28.78078,-17.96345,0.5
28.77823,-17.96367,0.5
28.77849,-17.95331,0.0
28.78803,-17.92633,0.0
28.80262,-17.92478,0.0
28.81288,-17.91061,0.0
28.81765,-17.91907,0.0
28.8346,-17.84475,0.0
28.83384,-17.8449,0.0
28.82762,-17.81459,0.0
28.61821,-17.8334,0.0
28.610885,-17.851859,20.0
28.614202,-17.850585,28.0
28.621138,-17.840937,14.0
28.625669,-17.836664,6.0
28.6076287198794,-17.8631116098794,77.0
28.6063717870675,-17.8636832470675,56.0
28.6226387163111,-17.8496255663111,26.0
28.6095243253641,-17.8534828253641,32.0
28.6085584118002,-17.8563865618002,40.0
28.6098920718002,-17.8570725318002,30.0
28.611067015971,-17.858855135971,74.0
28.6049599505628,-17.8587506305628,42.0
28.6056166424436,-17.8611106724436,46.0
28.6223390072093,-17.8536437872093,52.0
28.6221585519007,-17.8389323119007,7.0
28.6104731649288,-17.8368305049288,12.0
28.6065437337308,-17.8456659337308,11.0
28.5965726494326,-17.8426915794326,8.0
28.5945466349149,-17.8380116349149,5.0
28.5904179700729,-17.8375898700729,5.0
28.58959741,-17.83838717,7.0
28.58845191,-17.8373175,1.0
28.58214594,-17.8344215,2.0
28.57210545,-17.83863994,0.0
28.57254583,-17.83878378,1.5
28.57163785,-17.8383023,1.0
28.56952973,-17.8391887,0.5
28.56783315,-17.8389632,1.0
28.56576826,-17.83787976,1.0
28.55183701,-17.83904786,0.5
28.53871312,-17.84010264,0.5
28.52453012,-17.83718945,0.1
28.50620556,-17.84167023,0.1
28.5220449075217,-17.8473562475217,0.1
28.631310856847,-17.858353686847,18.0
28.6272654528588,-17.8562834528588,38.0
28.6258620036879,-17.8562585636879,45.0
28.6227683868124,-17.8578335168124,43.6
28.6217230082949,-17.8580560682949,92.0
28.6211131382949,-17.8583592082949,98.0
28.6205894652553,-17.8585370752553,120.0
28.6198236952553,-17.8591890252553,130.0
28.6200460884705,-17.8614374084705,163.0
28.6234327742108,-17.8626373242108,59.0
28.6260471942108,-17.8618970642108,32.0
28.6268638882635,-17.8616736382635,26.0
28.6259842037367,-17.8645882737367,42.0
28.6293299944065,-17.8665947644065,21.0
28.6300879266097,-17.8674760366097,20.0
28.6336609459245,-17.8662277959245,18.0
28.63583175,-17.86377206,10.0
28.61138828,-17.86152074,136.0
28.60886209,-17.86273427,79.0
28.60726753,-17.86346888,72.0
28.60809092,-17.86614896,129.0
28.60565733,-17.86779166,109.0
28.60546465,-17.87370616,140.0
28.62701649,-17.84496606,21.0
28.63359415,-17.84633075,13.0
28.63284093,-17.85489766,16.0
28.62691125,-17.85204615,31.0
